"URL | Name"|"# of 
locations"|States
"http://supermarketpage.com/supermarkets/114-Grocery-Deli-Incorporated-15093.htm | 114 Grocery & Deli Incorporated"|1|NY|
"http://supermarketpage.com/supermarkets/1st-Oriental-Supermarket-6788.htm | 1st Oriental Supermarket"|2|FL|
"http://supermarketpage.com/supermarkets/A-A-Fine-Foods-23408.htm | A & A Fine Foods"|1|NJ|
"http://supermarketpage.com/supermarkets/A-G-Fine-Foods-Incorporated-15960.htm | A & G Fine Foods Incorporated"|1||
"http://supermarketpage.com/supermarkets/A-P-Food-Stores-19068.htm | A & P Food Stores"|109|CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX|
"http://supermarketpage.com/supermarkets/A-G-Ferrari-Foods-13347.htm | A G Ferrari Foods"|4|CA|
"http://supermarketpage.com/supermarkets/Acme-Markets-3341.htm | Acme Markets"|165|DE, MD, NJ, OH, PA, VA|
"http://supermarketpage.com/supermarkets/African-and-Caribbean-Supermarket-17519.htm | African and Caribbean Supermarket"|2|UT|
"http://supermarketpage.com/supermarkets/AG-Ferrari-Foods-22239.htm | AG Ferrari Foods"|5|CA|
"http://supermarketpage.com/supermarkets/Agro-Foods-4319.htm | Agro Foods"|2|FL|
"http://supermarketpage.com/supermarkets/Aguada-Supermarket-Incorporated-15421.htm | Aguada Supermarket Incorporated"|3|NY|
"http://supermarketpage.com/supermarkets/Ajs-Fine-Foods-11444.htm | Ajs Fine Foods"|10|AZ|
"http://supermarketpage.com/supermarkets/Akins-Natural-Food-21930.htm | Akins Natural Food"|10|KS, MO, NE, OK|
"http://supermarketpage.com/supermarkets/AL-James-Foods-6612.htm | AL & James Foods"|3|MN, OK|
"http://supermarketpage.com/supermarkets/Als-Supermarket-2284.htm | Al's Supermarket"|5|FL, IN|
"http://supermarketpage.com/supermarkets/Albertsons-4524.htm | Albertsons"|979|AR, AZ, CA, CO, DE, FL, GA, ID, IL, IN, KS, LA, MD, MO, MT, ND, NE, NJ, NM, NV, NY, OK, OR, PA, TN, TX, UT, WA, WY|
"http://supermarketpage.com/supermarkets/ALDI-631.htm | ALDI"|856|AL, AR, CT, GA, IA, IL, IN, KS, KY, MD, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WI, WV|
"http://supermarketpage.com/supermarkets/All-American-Foods-14750.htm | All American Foods"|6|GA, MA, MN, WI|
"http://supermarketpage.com/supermarkets/American-Foods-Group-22170.htm | American Foods Group"|5|MN, OH, WI|
"http://supermarketpage.com/supermarkets/American-Supermarket-937.htm | American Supermarket"|2|AL, NJ|
"http://supermarketpage.com/supermarkets/Americold-Logistics-8739.htm | Americold Logistics"|1|OR|
"http://supermarketpage.com/supermarkets/Ameriqual-Foods-Inc.-18330.htm | Ameriqual Foods Inc."|1|IN|
"http://supermarketpage.com/supermarkets/Ameristop-Food-Mart-22509.htm | Ameristop Food Mart"|3|OH|
"http://supermarketpage.com/supermarkets/Amish-Market-Atlas-Park-15450.htm | Amish Market Atlas Park"|3|NY|
"http://supermarketpage.com/supermarkets/Ammons-Supermarket-LLC-19749.htm | Ammons Supermarket LLC"|2|NJ|
"http://supermarketpage.com/supermarkets/Anderson-Supermarket-23371.htm | Anderson Supermarket"|2||
"http://supermarketpage.com/supermarkets/Andys-Iga-Foodliner-17386.htm | Andys Iga Foodliner"|3|ME|
"http://supermarketpage.com/supermarkets/Anshas-West-Indian-Supermarket-6956.htm | Anshas West Indian Supermarket"|2|FL|
"http://supermarketpage.com/supermarkets/Apna-Bazaar-9472.htm | Apna Bazaar"|5|CA, NY, TX|
"http://supermarketpage.com/supermarkets/Apples-Supermarket-8108.htm | Apples Supermarket"|2|OH|
"http://supermarketpage.com/supermarkets/Arck-Foods-6449.htm | Arck Foods"|3|NE|
"http://supermarketpage.com/supermarkets/Arena-Supermarket-4352.htm | Arena Supermarket"|1|FL|
"http://supermarketpage.com/supermarkets/Arends-Family-Foods-6431.htm | Arends Family Foods"|2|NE|
"http://supermarketpage.com/supermarkets/Aria-Foods-21157.htm | Aria Foods"|4|NJ|
"http://supermarketpage.com/supermarkets/Arley-Country-Supermarket-1106.htm | Arley Country Supermarket"|1|AL|
"http://supermarketpage.com/supermarkets/Armandos-Supermarket-19570.htm | Armando's Supermarket"|3|FL, IL|
"http://supermarketpage.com/supermarkets/Arteagas-Starlite-Supermarket-21774.htm | Arteaga's Starlite Supermarket"|6|CA|
"http://supermarketpage.com/supermarkets/Artel-Supermarket-22923.htm | Artel Supermarket"|1|FL|
"http://supermarketpage.com/supermarkets/Associated-Food-Stores-9353.htm | Associated Food Stores"|71|NH, NJ, NY, WA|
"http://supermarketpage.com/supermarkets/Atkinsons-Market-1524.htm | Atkinsons Market"|2|ID|
"http://supermarketpage.com/supermarkets/Austin-Foods-15451.htm | Austin Foods"|7|IL, IN, NC, NY|
"http://supermarketpage.com/supermarkets/Azteca-Grocery-19433.htm | Azteca Grocery"|2||
"http://supermarketpage.com/supermarkets/Azteca-Mkt.-18882.htm | Azteca Mkt."|4|CA|
"http://supermarketpage.com/supermarkets/Azteco-Mkt.-10742.htm | Azteco Mkt."|1||
"http://supermarketpage.com/supermarkets/B-B-Foods-23556.htm | B & B Foods"|5|MT, TX|
"http://supermarketpage.com/supermarkets/B-F-Super-Foods-3888.htm | B & F Super Foods"|2|CO|
"http://supermarketpage.com/supermarkets/B-G-Foods-12467.htm | B & G Foods"|9|AR, DE, MD, ME, NJ, TN|
"http://supermarketpage.com/supermarkets/Babco-Foods-International-21155.htm | Babco Foods International"|2|NJ|
"http://supermarketpage.com/supermarkets/Bakers-6486.htm | Baker's"|12|NE|
"http://supermarketpage.com/supermarkets/Baldor-Speciality-Foods-15139.htm | Baldor Speciality Foods"|5|MA, NY|
"http://supermarketpage.com/supermarkets/Bar-S-Foods-11202.htm | Bar S Foods"|4|AZ, OK|
"http://supermarketpage.com/supermarkets/Baraboo-Sysco-Food-11809.htm | Baraboo Sysco Food"|1|WI|
"http://supermarketpage.com/supermarkets/Bashas-22344.htm | Bashas"|30|AZ|
"http://supermarketpage.com/supermarkets/Basic-American-Foods-14748.htm | Basic American Foods"|15|CA, ID, IL, MD, WA, WI|
"http://supermarketpage.com/supermarkets/Beit-Brothers-Supermarket-20177.htm | Beit Brothers Supermarket"|3|CT|
"http://supermarketpage.com/supermarkets/Bel-Air-Supermarkets-21848.htm | Bel Air Supermarkets"|7|CA|
"http://supermarketpage.com/supermarkets/Ben-E-Keith-Foods-18837.htm | Ben E Keith Foods"|11|AR, KS, LA, OK, TN, TX|
